v1	v2	v3	v4	v5	v6
63.5	37173	16	53.7	13	4
80.9	10326	18	31.4	14	4
52.4	37173	12	52.4	16	4
69.2	24782	17	64.1	16	2
44.7	20651	12	62	20	2
78.5	24782	16	43.4	16	2
64.1	45433	14	49.6	14	1
31.5	113159	13	65.8	16	2
63.5	113159	12	81	16	4
44.7	30289	12	53.4	12	2
63.5	17898	12	29.2	12	6
75.2	15144	16	31.4	14	2
86.8	55071	20	79.8	16	3
29.4	113159	13	97.2	20	3
53.1	20651	13	34.2	13	3
92.3	7572	20	63.5	15	0
33.9	24782	14	64.1	16	1
83.7	275	12	69.2	18	3
40.5	45433	12	32.3	14	2
96	113159	20	83.7	16	3
78.5	24782	18	38.1	16	2
86.6	11702	14	64.1	14	1
38.1	11702	12	29.5	9	2
59.9	17898	16	54.9	16	4
29.2	30289	9	31.5	14	1
66.1	24782	10	26.7	12	5
34.2	11702	10	29.4	11	4
63.5	30289	12	25.8	16	1
78	3579	18	29.3	17	2
49.6	113159	9	63.5	14	7
84.7	1101	20	60.6	17	1
32.3	10326	8	37.3	13	1
62.5	24782	12	52.4	12	5
28.6	37173	12	48.6	12	3
64.1	37173	14	36.5	12	2
63.5	13079	12	60.5	12	1
43.4	13079	12	27.7	14	0
63.5	13079	12	63.5	19	0
32.3	24782	7	30	10	1
32.3	20651	5	38.2	11	2
36.5	37173	12	45.3	12	2
63.5	6195	20	61.9	16	5
50.7	39731	11	50.7	13	3
29.8	39731	8	74.4	16	1
92.3	130639	20	92.3	20	0
52.5	32374	12	35.4	14	2
33.6	26488	14	67	14	2
47	26488	12	47	14	3
63.5	32374	12	61.9	14	2
80.3	22073	12	31.5	12	2
31.3	39731	12	32.3	12	4
63.5	39731	17	63.5	17	2
76.4	130639	16	61.9	14	8
38.1	130639	12	38.1	12	1
44.7	130639	14	63.5	12	2
74.9	32374	15	73.3	13	1
63.5	130639	9	63.5	18	6
31.5	39731	12	37.8	13	4
74.4	22073	18	32.4	16	1
28.6	26488	12	50.7	14	1
37.2	13979	12	33.9	12	2
55.1	39731	14	74.9	16	2
32.3	58861	12	73.6	16	1
41.6	130639	12	83.7	14	1
63.5	130639	16	64.2	13	5
31.5	26488	6	63.2	14	10
31.5	26488	8	45.8	15	3
52.4	16187	12	30.1	11	1
64.1	22073	16	38.5	16	8
73.9	19130	18	57.1	16	5
81.9	39731	20	32.3	16	2
80.3	58861	18	85.1	20	1
31.5	5297	10	44.7	12	1
75.3	39731	16	81.9	18	1
85	48561	16	63.5	16	2
32.3	26488	8	31.3	12	3
32.7	19130	12	28.6	12	2
38.2	26488	12	76.4	18	1
63.5	22073	16	63.5	16	3
91.7	16187	18	73.2	16	3
63.5	39731	11	34.2	12	2
63.5	26488	14	63.5	17	1
80.3	130639	20	92.3	19	2
31.5	16187	14	44.7	12	2
86.5	16187	16	69.2	12	7
73.8	9565	18	33.2	13	3
52.5	11036	12	30.1	12	2
63.5	26488	12	48.5	12	2
34.2	58861	5	62.2	14	3
60.6	32374	16	64.1	16	3
41.1	39731	8	50.7	18	3
27.7	16187	12	29.2	12	4
26.7	39731	12	86	18	2
45.4	26488	8	50.7	14	3
38.2	26488	8	64.1	14	6
48.5	19130	10	44.2	19	3
38.4	4414	12	29.2	12	2
36.5	6622	3	38.9	12	6
50.7	130639	12	63.5	18	2
39.4	130639	12	63.5	20	3
86.8	130639	16	63.5	18	2
32.3	13979	11	28.6	12	5
86.6	58861	14	88.8	19	2
30.2	39731	15	65.2	16	2
27.7	22073	4	31.4	12	5
29.2	39731	4	83.7	20	0
60.5	19130	16	39	14	2
72.5	130639	16	69.7	16	4
38.1	26488	12	33.6	14	5
29.2	39731	13	76.4	16	2
64.1	48561	12	34.2	13	7
35.7	130639	7	81	14	1
42.4	19130	5	31.5	9	6
65.8	39731	16	43.3	14	2
35.1	12508	12	56.5	13	4
76.3	19130	14	62	14	3
28.6	32374	3	34.2	3	2
39.4	19130	6	33.1	14	4
84.5	26488	20	58.8	18	0
58.3	39731	12	69.7	14	4
78.5	22073	16	35.4	12	5
63.5	32374	12	65.8	12	5
50.7	32374	9	50.7	12	1
48.5	48561	6	87	15	5
86.6	58861	16	63.5	17	2
54.9	26488	12	76.3	14	1
50.7	39731	12	69.7	14	1
52.5	130639	12	64.8	16	1
24.2	11036	12	28.4	12	1
63.5	26488	12	80.3	17	2
34.2	39731	12	34.2	14	6
73.3	130639	12	63.5	19	3
32.3	26488	12	48.9	12	6
86	48561	16	87	19	2
63.2	130639	16	73.3	16	3
50.7	32374	12	64.1	16	1
85.1	26488	18	29.2	12	1
73.2	22073	16	36.5	12	12
63.5	32374	16	76.4	19	1
63.5	130639	12	63.5	20	20
63.5	48561	14	63.5	13	3
48.5	12508	12	30.1	12	0
27.7	26488	6	83.7	16	1
29.5	8093	9	29.2	10	4
29.2	39731	12	35.4	12	4
90.3	32374	20	73.7	19	1
31.5	32374	14	25.8	12	2
65.8	26488	12	73.2	14	4
37.7	48561	8	63.2	18	5
83.7	22073	14	44.7	16	1
77.8	130639	13	63.5	15	1
64.1	26488	14	48.5	16	1
48.5	26488	10	50.7	14	4
29.2	26488	10	48.6	12	1
38.2	48561	12	44.7	12	2
76.4	13979	12	27.2	12	5
26.9	11036	2	29.2	10	2
29.2	8093	6	32.3	14	3
66.1	22073	12	60.5	12	6
36.4	11036	14	78.5	16	4
58.8	39731	16	86.5	17	4
49.6	11036	11	29.5	12	1
73.3	19130	18	36.5	15	3
62.5	39731	18	58.3	18	1
63.5	22073	12	39.4	15	8
38.2	27783	16	44.7	7	11
29.5	50935	12	48.9	13	1
45.9	41674	12	38.2	14	1
45.9	33956	8	29.6	13	5
31.4	27783	11	49.6	11	3
86	41674	16	39.4	16	2
92.8	41674	17	92.3	20	1
42.4	14663	8	36.5	12	10
45.9	33956	10	43.2	13	2
28.4	20065	12	28.4	12	4
82.7	27783	16	63.5	16	3
38.2	41674	9	83.7	17	1
58.1	41674	14	78.5	19	3
52.4	23152	12	31.5	12	2
80	132329	16	64	16	2
76.4	132329	16	52.4	17	3
31.4	33956	14	75.2	16	2
63.5	3395	16	38	16	1
50.7	132329	13	67	16	1
64.1	132329	16	73.3	17	1
31.5	27783	11	62.5	12	5
86.6	13119	16	34.2	12	6
63.5	61739	16	63.2	15	5
45.4	50935	12	45.8	14	1
83.7	132329	12	92.3	19	1
62.5	23152	12	37.2	15	1
50.7	20065	12	28.6	12	1
49.6	41674	14	50.7	15	10
63.5	33956	12	80.3	14	4
64.1	41674	7	63.5	16	5
50.7	50935	16	64.1	16	3
63.5	10032	4	34.2	12	2
27.5	27783	10	52.5	14	4
50.7	33956	18	28.6	16	5
93.3	61739	17	63.5	17	2
38.2	41674	12	35.1	13	1
34	20065	12	34	12	1
31.5	27783	10	76.4	12	2
48.5	33956	12	36.5	14	4
69.7	50935	20	60.5	14	3
38.2	13119	10	30.1	10	3
29.2	33956	12	50.7	12	5
32.3	16978	11	38.1	12	2
33.3	20065	12	73.3	14	1
34.2	309	14	82.7	14	2
27.7	23152	8	63.5	16	1
48.5	23152	12	26.6	12	2
61.9	132329	2	83.7	18	1
73.3	50935	16	64.2	15	1
50.7	33956	13	73.3	16	2
36.5	41674	15	63.5	18	3
28.6	13119	12	45.2	12	1
48.9	33956	12	48.9	14	0
49.6	20065	12	63.2	16	2
48.5	11576	12	31.3	12	1
36.5	20065	12	29.5	12	3
80.3	50935	18	63.5	16	4
32.3	1234	12	63.5	12	3
33.2	23152	8	64.2	14	1
92.8	41674	12	37.9	14	1
67	33956	16	73.8	16	0
63.5	20065	16	27.5	15	0
63.5	33956	14	63.5	12	2
27.7	27783	9	38.1	10	5
69.7	41674	12	50.7	14	6
31.5	20065	9	63.5	12	2
34.3	23152	12	63.5	12	3
38.9	132329	12	92.8	16	2
86.8	132329	18	63.5	19	12
97.2	132329	20	87	20	3
63.5	4013	16	29.2	20	1
86.6	33956	17	76.3	17	0
48.5	13119	14	63.5	17	2
38.2	33956	16	71.6	18	6
37.8	33956	8	38.2	12	4
78.5	23152	16	78.5	16	1
34.2	16978	8	29.4	11	8
44.7	23152	12	83.7	16	4
36.5	41674	16	86	16	2
24.2	11576	9	63.5	9	10
36.5	10032	8	37.2	13	1
78	27783	16	63.5	19	4
78.5	27783	17	49.6	16	2
29.8	20065	12	34.2	14	1
38.2	6945	12	27.2	13	4
38.1	11576	9	35.1	12	4
32.3	50935	12	31.5	13	3
26.9	13119	8	35.1	12	3
26.9	13119	7	38.4	14	2
90.8	41674	12	63.5	12	11
64.1	132329	12	63.5	12	3
29.4	50935	12	44.7	11	3
50.2	27783	8	73.2	20	8
63.2	27783	10	52.4	13	3
32.3	50935	8	48.9	12	1
26.7	23152	8	49.6	9	4
38.2	33956	12	42.4	13	1
86	41674	13	44.8	16	2
26.7	27783	12	67	16	3
86.5	20065	12	70.5	14	3
45.8	23152	12	64	13	3
64.1	33956	12	53.4	16	2
85.1	20065	18	63.5	16	3
66.1	27783	12	36.7	12	0
64.1	20065	14	74.4	17	2
32	27783	12	76.3	16	1
69.2	132329	18	83.7	18	0
76.3	309	15	76.3	13	2
44.7	20065	12	53.9	12	2
50.7	20065	16	58.3	16	2
50.7	2778	12	38.9	12	4
48.5	18287	18	48.6	14	1
63.5	36575	11	63.5	18	0
63.2	14131	14	62	14	8
31.5	24937	9	63.5	10	1
67	29925	16	46.3	14	2
64.1	333	16	64.1	16	1
86.6	54862	18	92.3	19	3
34.2	29925	12	38.1	13	4
63.5	44887	12	52.5	12	2
44.7	44887	13	44.7	14	3
87	29925	20	60.5	14	2
36.5	36575	12	32.3	14	3
29.2	54862	8	63.5	16	4
73.9	44887	16	27.5	10	3
52.4	36575	8	84.2	20	3
63.5	21612	5	73.3	16	2
38.5	29925	12	63.5	14	2
38.4	66500	12	97.2	20	3
64.1	44887	16	44.7	16	2
52.4	36575	12	63.2	12	0
86	134018	17	76.4	16	2
28.6	36575	12	32.7	12	1
32.7	21612	12	31.5	12	1
38.1	29925	10	80.3	18	2
85	134018	18	82.7	20	5
39.4	44887	6	48.5	14	8
52.5	24937	11	28.6	13	4
63.5	21612	13	70.5	14	4
63.5	18287	12	63.5	16	5
87	2327	12	29.2	13	4
90.8	21612	20	63.5	16	3
50.7	21612	9	73.6	17	1
32.3	18287	5	73.9	17	2
32.3	18287	8	30.4	10	3
64.1	134018	16	63.5	18	4
48.5	44887	16	92.8	16	1
44.3	7481	12	73.9	18	8
73.9	29925	20	72.5	16	2
86.6	66500	13	86.6	15	1
63.2	7481	16	80.9	20	4
34.2	44887	12	28.6	12	2
76.3	36575	16	83.9	17	2
52.4	21612	12	32.3	12	2
80.3	54862	16	48.5	14	2
28.6	5985	6	39.4	11	3
97.2	66500	20	92.3	20	1
50.7	18287	12	63.2	13	3
34.2	21612	10	34.3	11	3
54.2	3657	12	88.3	20	1
97.2	21612	20	63.5	14	2
64.2	24937	16	63.5	14	2
33.6	29925	11	83.9	18	1
36.5	12468	6	24.2	12	4
63.5	29925	13	63.5	13	1
64.1	29925	16	28.4	13	3
76.4	66500	16	76.4	16	2
31.5	66500	12	60.3	16	2
44.7	29925	12	62.5	16	2
27.7	29925	16	63.5	16	2
30	44887	10	63.5	12	5
73.3	29925	16	50.7	15	2
48.5	29925	12	32	12	6
83.2	9143	18	31.4	13	6
93.3	134018	20	74.4	20	3
31.5	29925	8	63.5	12	4
38.5	36575	14	64.1	15	2
67	24937	10	63.5	14	1
96	44887	12	62.1	18	5
63.5	21612	6	63.5	14	4
48.6	134018	14	97.2	20	1
64.1	29925	12	38.1	10	7
41.2	21612	10	28.4	10	6
65.8	18287	13	68.1	12	5
28.4	9143	12	31.5	13	5
86.6	36575	16	86.6	16	3
76.4	29925	16	63.2	17	1
32.3	10806	12	28.4	10	10
48.5	12468	8	63.2	18	1
65.8	21612	10	59	14	1
33.6	29925	12	63.5	14	3
39.4	29925	12	49.9	14	5
27.7	21612	10	31.3	14	7
36.5	36575	8	93.7	19	1
28.6	21612	12	63.5	16	1
83.7	21612	14	38	17	5
31.7	24937	12	64.2	14	11
63.5	134018	12	64.2	16	6
54.2	4987	12	60.6	14	5
64.1	36575	16	66.1	16	4
31.3	134018	12	73.3	18	1
73.6	36575	18	93.3	20	1
50.7	36575	18	57.1	16	4
32.3	24937	12	59	14	3
37.3	14131	10	29.8	16	1
84	44887	17	63.5	12	2
36.4	24937	12	64.8	17	2
38.9	21612	12	71.2	20	3
38.2	29925	8	28.4	12	3
46.7	36575	14	32.7	13	3
28.2	29925	6	62	14	7
31.5	21612	10	37.3	12	4
31.5	18287	12	31.5	12	5
81.9	10806	20	80.3	17	5
46.3	14131	12	29.2	12	2
31.5	2992	12	60.5	15	3
29.4	29925	11	34.3	12	3
31.4	18287	8	33.6	12	4
28.6	54862	15	63.5	15	3
45.9	36575	12	73.6	14	6
34.2	12468	9	32.3	14	6
92.3	44887	19	60.5	14	2
65.8	29925	12	85.7	20	3
30.2	36575	12	63.5	15	5
63.5	24937	6	62.5	15	3
31.5	29925	6	50.2	12	2
38.2	29925	8	69.7	14	2
50.7	21612	10	38.1	10	10
31.5	14131	5	29.2	7	3
29.2	15793	12	63.5	15	4
38.1	24937	12	29.7	12	1
48.5	21612	16	26.7	14	8
27.7	21612	12	46.8	13	3
32.3	29925	12	27.7	12	2
39.5	29925	12	38.4	12	3
48.5	18287	8	36.5	12	1
48.5	12468	12	34.3	12	1
62	29925	12	45.3	14	3
32.7	29925	11	63.2	12	7
44.8	44887	2	32.1	13	2
47.6	54862	10	44.8	12	2
63.5	21612	12	49.6	12	2
31.5	36575	10	38.2	12	4
76.4	31364	12	87.4	19	3
28.4	31364	4	52.4	12	1
26.4	36189	5	34.2	5	2
38.2	43426	12	63.5	16	2
53.7	22919	3	33.9	10	9
38.2	26538	8	38.9	18	0
63.2	43426	16	76.4	18	7
33.3	43426	10	61.9	16	6
85.1	83666	16	84	19	2
31.4	53077	12	48.5	12	2
37.8	43426	15	75.2	15	6
37.3	1930	12	26.6	13	3
67	53077	16	97.2	16	1
38.2	31364	6	63.5	11	3
28.4	26538	12	60.5	14	5
73.3	53077	16	92.3	19	2
38.4	26538	11	37.6	16	0
93.3	43426	16	54.7	14	2
41.6	15682	8	29.4	11	7
28.4	83666	6	97.2	20	1
29.2	26538	12	64	15	3
38.8	22919	10	62.5	7	3
26.9	20507	4	32.3	9	5
28.4	31364	11	24.6	12	2
68.1	18094	9	49.9	13	3
63.5	20507	16	63.5	12	2
44.7	83666	12	83.7	18	1
32	31364	7	83.7	19	3
43.4	43426	12	88.2	18	2
86	26538	13	62	16	3
65.8	31364	12	63.2	15	6
80.3	26538	16	37.9	16	1
45.8	20507	9	66.1	12	2
33.6	26538	8	35.1	10	8
31.5	15682	7	37	12	5
32	31364	8	43.4	12	4
86.6	36189	12	29.6	12	6
29.2	31364	3	35.1	12	9
31.5	43426	12	37.3	12	4
63.5	43426	16	50.7	16	3
35.1	13269	12	64.1	16	2
31.5	31364	12	34.2	14	3
50.7	83666	6	97.2	20	3
63.5	83666	14	38.9	17	2
63.5	53077	8	50.7	15	3
31.5	20507	2	63.2	10	4
31.5	20507	3	47	12	7
45.8	20507	12	39	14	6
34.3	31364	6	33.6	12	4
32.3	13269	9	35.4	14	3
86.6	31364	16	33.6	14	0
44.7	31364	7	86.5	14	1
32.1	18094	5	46.7	16	1
48.5	22919	12	49.6	16	2
32.3	18094	12	29.1	12	1
76.4	43426	16	68.1	20	2
48.5	22919	18	29.8	16	2
87.2	83666	20	97.2	20	2
44.7	18094	12	35.4	14	6
63.5	43426	8	63.5	13	1
38.2	22919	12	53.9	14	1
50.7	43426	11	63.5	16	2
28.6	26538	10	65.8	14	4
52.5	13269	12	50.7	13	4
76.4	6273	11	63.2	16	7
38.2	4343	12	45.3	12	3
38.2	22919	12	36.4	13	3
31.5	53077	12	38.9	15	3
73.6	10857	12	36.9	14	5
21.1	36189	12	37.3	16	2
63.5	8685	12	63.5	15	3
48.5	15682	13	50.7	13	1
36.5	43426	7	50.5	12	12
33.5	13269	6	26.5	9	0
63.5	31364	13	63.5	13	3
49.6	6273	6	37.3	12	3
35.1	1930	8	49.6	12	2
44.8	26538	12	50.7	13	5
30.1	22919	8	35.1	12	1
62.1	18094	12	63.5	12	0
37.8	13269	5	40.1	13	3
34.2	36189	8	84	20	3
36.5	8685	12	37.4	14	2
49.9	83666	11	63.5	14	4
31.3	26538	12	41.1	18	1
86	36189	16	63.5	16	2
76.4	80690	16	75.2	16	1
31.5	51023	7	38.9	13	1
31.4	51023	18	73.3	16	0
29.8	41746	13	49.3	14	4
32.9	17394	12	28.2	12	2
63.5	22032	16	29.2	12	4
81	22032	16	49.6	15	3
39.4	30150	3	63.2	15	2
22.7	25511	12	38.8	12	2
38.1	41746	11	31.5	13	3
48.9	25511	14	42.7	17	0
86.9	51023	12	86.7	12	5
34.2	80690	12	73.3	18	1
63.2	80690	16	92.3	19	1
53.7	34788	15	66.3	18	3
28.4	34788	5	28.6	12	2
92.8	17394	16	57.1	18	1
27.7	17394	12	33.6	12	5
53.9	41746	9	52.5	12	2
29.8	25511	12	37.3	16	2
31.5	34788	7	48.5	14	6
31.5	1855	8	64.2	16	3
88.8	41746	16	86.6	16	2
26.4	25511	12	49.6	12	2
45.3	41746	9	38.8	12	5
47.8	34788	12	52.4	14	2
40.9	34788	8	40.9	12	2
31.5	17394	13	66.1	13	1
55.1	30150	16	60.6	16	1
43.2	41746	11	43.2	12	3
32.3	30150	8	73.6	16	8
45.8	41746	14	46.7	14	1
45.8	22032	8	25.8	12	11
50.5	15075	12	34.2	14	1
38.1	41746	11	28.2	12	3
54.2	34788	12	31.5	12	4
37.6	30150	12	65.8	16	3
73.6	51023	18	92.3	19	2
31.4	51023	13	73.2	20	1
31.5	41746	12	63.5	17	1
78	25511	12	84	18	3
27.7	25511	18	97.2	20	3
63.5	30150	12	63.5	14	0
31.5	8349	6	31.4	10	8
86.5	8349	14	37.3	15	0
29.4	19713	4	33.9	8	3
17.6	17394	8	48.5	14	7
28.6	12756	8	34.2	13	2
83.7	41746	16	61.9	17	3
29.5	17394	8	63.5	12	3
32.3	51023	10	64.1	14	11
32.3	30150	11	31.5	8	2
88.2	34788	20	63.5	14	3
37.6	19713	8	50.7	12	4
73.6	25511	12	51	16	3
32.3	30150	9	49.6	12	2
31.4	80690	16	31.4	16	1
31.5	51023	8	65.8	20	4
50.7	30150	12	80.3	20	2
73.6	80690	14	61.9	12	2
87.9	4175	16	28.6	12	3
29.2	41746	10	44.7	15	1
44.8	25511	12	45.9	16	6
63.5	30150	12	63.5	18	2
63.2	30150	14	64.1	14	3
28.6	30150	10	30.1	15	5
38.1	17394	9	28.4	12	4
60.3	34788	14	50.7	14	4
59.1	12756	3	24.2	7	3
32.3	17394	12	71.6	20	2
27.7	12756	12	29.2	12	6
36.5	22032	8	78.5	18	13
63.5	22032	8	73.9	16	3
63.5	10436	11	44.7	12	1
36.4	19713	6	46.7	14	4
36.4	17394	7	29.8	11	5
31.5	30150	14	62.5	18	4
37.2	51023	12	39	12	1
34.3	41746	6	51.9	12	1
86.5	10436	12	27.5	14	2
63.5	80690	14	92.3	16	1
59.3	34788	15	62.5	19	2
43.6	34788	12	31.5	15	9
32.7	34788	10	32.7	12	5
32.3	21068	10	50.7	16	5
36.5	28830	10	78.5	16	2
63.5	39919	7	63.5	13	0
28.6	39919	8	49.6	12	2
26.7	18851	12	50.7	14	3
63.5	103206	16	92.3	19	1
86	103206	16	63.5	14	1
48.5	39919	14	48.5	15	3
64.1	14415	12	32.3	14	5
86.6	28830	18	38.2	14	1
35.1	33266	12	43.2	12	2
36.5	33266	12	63.5	16	2
34.2	18851	4	29.6	7	3
38.2	39919	6	86.6	16	2
64.1	39919	12	64.1	16	1
70.5	18851	12	64.1	13	4
63.5	12197	12	35.1	12	1
31.5	21068	12	63.2	13	0
64.1	28830	8	29	14	2
50.7	28830	12	78.5	14	4
31.5	18851	12	38.4	13	2
45.2	48790	8	69.2	15	2
32.3	28830	12	38.4	14	7
29.2	18851	4	34.6	15	2
26.7	28830	12	31.4	16	1
51	24395	12	26.7	16	2
38.4	48790	16	34.3	17	2
43.7	103206	20	97.2	20	2
64.1	24395	16	54.2	14	3
64.1	14415	12	31.4	14	3
26.7	39919	8	48.5	14	4
26.7	28830	11	63.5	14	3
33.6	16633	12	39	12	3
63.2	33266	12	69.2	18	2
29.4	21068	7	36.9	13	17
65.8	21068	14	73.8	16	3
44.7	1774	12	29	16	2
48.5	33266	16	44.7	12	1
48.5	103206	14	92.3	19	5
63.5	24395	12	45.2	13	2
50.3	24395	15	66.1	14	1
28.6	16633	8	38.9	12	4
27.7	3992	8	28.6	12	9
44.7	28830	8	61.9	16	0
36.5	24395	3	53.9	13	5
34.2	24395	12	87.4	20	0
62.2	18851	14	41.6	16	2
92.3	103206	19	63.5	18	1
29.2	48790	8	64.1	15	3
76.4	39919	16	51.9	16	5
30.1	21068	12	48.5	12	4
26.7	39919	10	32	15	1
86.6	39919	16	63.5	16	3
97.2	103206	20	96	20	2
63.5	39919	12	73.6	12	1
38.2	103206	12	63.5	17	1
87.5	21068	20	85	17	3
62.5	24395	20	29.2	14	2
72.5	103206	14	82.7	20	0
63.5	7984	12	50.7	13	3
64.1	33266	16	37.9	16	6
48.5	21068	8	33.1	12	3
27.5	24395	8	80.3	20	2
68.1	28830	13	76.4	14	3
65.8	24395	16	28.6	12	3
32.3	28830	8	29.2	14	2
29.2	21068	12	69.2	17	3
50.2	39919	12	50.5	12	1
72	28830	12	81.9	20	4
33.9	24395	20	44.7	13	3
32.3	24395	12	66.1	16	2
32.3	103206	8	63.5	12	2
38.2	14415	3	28.4	10	3
29.4	21068	8	32.3	16	2
48.9	28830	12	34.2	16	3
38.2	444	12	64.1	12	3
33.1	3992	12	38.1	12	8
32.3	21068	13	31.5	14	4
63.5	21068	12	28.4	14	3
38.5	33266	10	40.9	12	5
31.5	12197	8	29.6	12	6
83.9	111284	16	73.6	20	2
64.1	56405	12	75.2	18	1
50.7	17757	12	50.7	14	1
86.5	31336	12	63.5	16	3
86.6	56405	16	86.6	20	4
63.5	37603	14	38.1	15	1
64.1	11490	16	37.3	16	7
65.2	3760	13	64.2	15	5
53.9	27158	14	34.2	12	2
67	37603	16	63.2	19	2
50.7	15668	7	64.1	15	5
49.6	56405	12	49.6	12	3
69.7	111284	16	63.5	18	0
28	27158	8	76.4	18	2
31.3	37603	12	63.5	15	2
63.5	37603	16	84.5	16	4
31.5	45959	12	32	12	6
29.8	27158	11	33.2	14	0
65.8	111284	8	65.8	14	2
54.7	56405	14	92.3	20	3
29.4	45959	9	86.6	16	5
48.5	22980	11	46.7	13	2
50.7	37603	14	63.5	20	1
17.1	45959	4	78.5	17	4
48.9	2925	11	32.7	12	2
38.1	27158	12	38.1	12	1
27.7	37603	7	34.2	8	10
76.3	45959	12	54.7	16	2
36.5	45959	12	64.2	16	4
33.6	31336	11	52.4	13	1
86	27158	16	62.2	16	3
63.5	27158	14	38.9	17	1
72	27158	16	63.5	16	2
73.3	22980	13	36.5	16	3
30.6	19846	7	35.1	14	2
48.5	22980	12	53.1	12	3
86	45959	14	80.3	20	2
45.9	37603	12	51.9	18	4
97.2	37603	20	38.1	13	4
42.2	37603	9	86.6	15	5
42.4	31336	12	76.3	16	1
36.5	27158	9	47.8	14	2
80.3	37603	16	63.5	16	1
85.1	37603	18	76.4	16	0
80.3	22980	18	64.1	16	1
28.4	31336	10	50.7	12	7
38.4	45959	8	63.5	12	4
35.1	13579	6	51	12	16
34.2	19846	8	30	11	0
50.7	27158	12	67	16	3
35.4	37603	14	53.3	12	1
42.2	22980	12	31.5	15	4
34.2	22980	12	34.2	12	5
50.7	19846	16	27.5	14	1
49.6	17757	5	25.8	12	4
86.8	27158	14	87.9	12	2
38.9	37603	12	48.9	15	1
49.9	27158	12	28.6	13	2
50.7	37603	10	62.5	16	1
50.2	31336	14	63.2	14	0
63.5	31336	16	50.7	16	1
93.3	22980	14	50.7	16	2
27.7	22980	8	48.5	14	3
31.4	37603	12	93.3	18	3
31.5	22980	14	35.4	12	3
53.9	27158	10	49.6	14	4
86.9	45959	16	64.2	16	1
64.1	17757	16	79.9	16	6
29.5	31336	12	78.7	14	1
86.5	31336	16	45.9	14	4
76.3	27158	10	50.7	15	8
63.5	31336	18	86	14	2
37.4	37603	14	43.2	12	2
48.5	31336	3	80.3	17	1
90.3	22980	19	80.3	18	3
35.7	31336	8	78	15	10
96	19846	20	80.3	16	4
45.9	31336	8	50.7	12	4
32	19846	12	29.4	12	4
63.5	15668	13	64.1	16	8
38.1	37603	9	34.3	12	2
28.6	27158	12	73.2	14	1
26.7	37603	12	65.8	16	1
36.5	11490	12	27.7	12	1
76.4	22980	16	85	18	2
49.6	17757	12	34.2	11	9
44.7	37603	6	38.2	12	3
34.2	22980	12	80.3	19	2
36.4	31336	10	30.4	12	6
36.4	45959	8	37.8	12	4
76.4	25545	14	63.5	16	0
35.4	35370	7	31.5	14	3
53.9	29475	12	36.5	12	2
52.4	100496	10	53.3	12	1
31.5	35370	9	32.7	12	5
46.7	43230	12	76.4	16	1
50.7	43230	14	86.7	18	3
87.9	43230	12	81	12	6
85.1	25545	20	81	16	1
97.2	8843	18	86	19	5
